Product_ID,Brand,Description,Price
P-001,VILVAH,"Milk Drops Skin Brightening Serum With Rice Milk, Marine Algae Extract & Alpha-Arbutin(20ml)",640
P-002,VILVAH,"Better Ageing Overnight Serum with BluePea Flower Extract, Bakuchiol, Ceramides & Peptides(20ml)",750
